#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
3,0.133646,3.5039,5.1803,-2.6476,12.3371,13.9099,11.1895
4,0.170949,3.5067,5.0986,-2.4475,11.8353,13.3906,10.6917
5,0.23499,3.5165,5.0293,-2.2011,11.1883,12.686,10.0588
6,0.299622,3.5252,4.9815,-2.0128,10.6907,12.1466,9.572
7,0.316369,3.5272,4.9666,-1.966,10.5687,12.0167,9.4521
8,0.323776,3.5281,4.9583,-1.9442,10.5126,11.9579,9.3968
9,0.32894,3.5288,4.9519,-1.9287,10.4726,11.9159,9.3573
10,0.333501,3.5293,4.9464,-1.915,10.4377,11.8794,9.3228
11,0.338035,3.5299,4.941,-1.9016,10.4032,11.8433,9.2887
12,0.343192,3.5305,4.9352,-1.8868,10.365,11.8032,9.2509
13,0.351883,3.5317,4.9264,-1.8627,10.3025,11.7377,9.1893
14,0.430816,3.5446,4.862,-1.6579,9.7608,11.1689,8.6557
15,0.448119,3.5482,4.8464,-1.6109,9.6361,11.0387,8.533
16,0.466204,3.5524,4.8297,-1.5605,9.5025,10.898,8.4018
17,0.48188,3.5562,4.8147,-1.5158,9.3842,10.772,8.2861
18,0.495669,3.5598,4.8013,-1.4759,9.28,10.6569,8.1852
19,0.508185,3.5632,4.7896,-1.4396,9.1843,10.5484,8.0933
20,0.51841,3.5662,4.7803,-1.4096,9.1045,10.4551,8.0175
21,0.527178,3.5688,4.7723,-1.3837,9.0345,10.3718,7.9515
22,0.536234,3.5717,4.7643,-1.3569,8.961,10.2827,7.8828
23,0.547871,3.5756,4.7546,-1.3222,8.8629,10.1606,7.7924
24,0.564254,3.5813,4.7413,-1.2735,8.716,9.972,7.6594
25,0.585101,3.589,4.7252,-1.211,8.5082,9.697,7.4756
26,0.601008,3.5946,4.711,-1.1615,8.3362,9.4613,7.3242
27,0.6516,3.6155,4.6859,-1.0212,7.8181,8.7852,6.8878
28,0.673753,3.625,4.673,-0.9556,7.5645,8.444,6.6763
29,0.703307,3.638,4.6579,-0.8691,7.2267,7.9978,6.3971
30,0.910641,3.7253,4.5792,-0.3269,5.4737,5.8969,4.899
31,0.92758,3.731,4.5711,-0.2878,5.3652,5.774,4.8034
32,0.943979,3.7364,4.5627,-0.2505,5.2632,5.6589,4.7133
33,0.959643,3.7413,4.5543,-0.2155,5.1686,5.5528,4.6295
34,0.973629,3.7455,4.5464,-0.1849,5.0862,5.4604,4.5562
35,0.988797,3.75,4.5376,-0.1515,4.9974,5.3612,4.4772
36,1.00475,3.7544,4.528,-0.1169,4.9059,5.2593,4.3956
37,1.021284,3.7589,4.5176,-0.0815,4.8129,5.1561,4.3125
38,1.037959,3.7633,4.5067,-0.0461,4.7208,5.0542,4.23
39,1.056058,3.7678,4.4945,-0.0083,4.6225,4.9458,4.1419
40,1.080737,3.7737,4.4775,0.0424,4.4914,4.8016,4.0238
41,1.095247,3.7769,4.4666,0.072,4.4159,4.7192,3.9555
42,1.112192,3.7807,4.454,0.1062,4.3287,4.6242,3.8766
43,1.14376,3.7869,4.431,0.1659,4.1774,4.4598,3.7389
44,1.161805,3.7906,4.4172,0.2007,4.0898,4.3649,3.6592
45,1.254623,3.8086,4.3488,0.3751,3.6521,3.8914,3.2616
46,1.396786,3.8326,4.2592,0.6076,3.0775,3.2726,2.7413
47,1.446779,3.8406,4.2318,0.6822,2.8946,3.0757,2.5768
48,1.500454,3.8494,4.2078,0.7575,2.7121,2.8784,2.4144
49,1.536741,3.8548,4.1887,0.8087,2.5877,2.7452,2.3028
50,1.592073,3.863,4.1622,0.8829,2.4084,2.5529,2.1426
51,1.653191,3.8708,4.1303,0.9625,2.2162,2.3483,1.9691
52,1.663244,3.8719,4.1247,0.9754,2.185,2.3154,1.9407
53,1.673011,3.873,4.119,0.9878,2.1548,2.2835,1.9132
54,1.682308,3.874,4.1135,0.9997,2.1259,2.253,1.8865
55,1.692008,3.8749,4.1076,1.0119,2.0963,2.222,1.8593
56,1.701771,3.8759,4.1015,1.0241,2.0666,2.1909,1.8319
57,1.711721,3.8768,4.0952,1.0365,2.0365,2.1593,1.804
58,1.721871,3.8776,4.0887,1.0491,2.0058,2.1273,1.7756
59,1.732177,3.8785,4.082,1.0618,1.975,2.0952,1.7468
60,1.742279,3.8792,4.075,1.0742,1.9445,2.0636,1.7183
61,1.752545,3.8799,4.068,1.0867,1.914,2.032,1.6896
62,1.762545,3.8806,4.0607,1.099,1.884,2.001,1.6612
63,1.772591,3.8811,4.0532,1.111,1.8543,1.9704,1.6328
64,1.782474,3.8815,4.0454,1.123,1.8247,1.9401,1.6044
65,1.79255,3.8819,4.0371,1.1351,1.7946,1.9094,1.5753
66,1.802871,3.8822,4.0285,1.1476,1.7637,1.8779,1.5454
67,1.813548,3.8825,4.0194,1.1605,1.7317,1.8453,1.5143
68,1.824741,3.8828,4.0098,1.174,1.6982,1.8115,1.4817
69,1.835571,3.883,3.9997,1.1873,1.6649,1.7777,1.4491
70,1.846657,3.8831,3.9892,1.2008,1.631,1.7437,1.4157
71,1.85759,3.8831,3.9784,1.2143,1.5973,1.71,1.3822
72,1.868435,3.883,3.9672,1.2275,1.5639,1.6765,1.3487
73,1.879044,3.8828,3.9558,1.2405,1.5311,1.644,1.3157
74,1.88942,3.8825,3.9443,1.2531,1.4991,1.6124,1.2831
75,1.899488,3.8819,3.9326,1.2652,1.468,1.582,1.2511
76,1.909315,3.8813,3.9206,1.2769,1.4378,1.5526,1.2197
77,1.918934,3.8806,3.9084,1.2884,1.4083,1.5242,1.1886
78,1.928423,3.8797,3.896,1.2995,1.3793,1.4963,1.1578
79,1.937748,3.8787,3.8832,1.3105,1.3508,1.4692,1.1272
80,1.947019,3.8776,3.8701,1.3212,1.3227,1.4428,1.0966
81,1.956136,3.8764,3.8567,1.3316,1.2951,1.4169,1.0663
82,1.962011,3.8755,3.8478,1.3384,1.2773,1.4005,1.0466
83,1.967859,3.8746,3.8387,1.345,1.2597,1.3842,1.0269
84,1.973737,3.8736,3.8294,1.3516,1.2422,1.3681,1.0072
85,1.979578,3.8725,3.82,1.3581,1.2248,1.3523,0.9873
86,1.985361,3.8715,3.8102,1.3646,1.2074,1.3366,0.9674
87,1.991138,3.8703,3.8004,1.371,1.1901,1.3212,0.9475
88,1.99689,3.869,3.7902,1.3773,1.1731,1.3061,0.9275
89,2.002649,3.8676,3.78,1.3835,1.1563,1.2913,0.9077
90,2.008325,3.8662,3.7694,1.3896,1.1396,1.2768,0.8878
91,2.01395,3.8647,3.7587,1.3957,1.123,1.2625,0.8679
92,2.019555,3.8632,3.7478,1.4018,1.1066,1.2484,0.8479
93,2.025104,3.8616,3.7366,1.4077,1.0905,1.2349,0.8281
94,2.030633,3.86,3.7253,1.4134,1.0746,1.2217,0.8084
95,2.036107,3.8582,3.7137,1.4191,1.059,1.2088,0.7887
96,2.041511,3.8564,3.7019,1.4247,1.0435,1.1962,0.7691
