Name,Type,RA,DEC
Black Eye Galaxy,galaxy,12h 56m 43.8s,"+21° 40' 57"""
Spindle Galaxy,galaxy,10h 05m 14.1s," -7° 43' 07"""
Virgo A,galaxy,12h 30m 49.4s,"+12° 23' 24"""
Rosette Nebula,nebula, 6h 32m 42.0s," +4° 58' 00"""
Epsilon Orionis,nebula, 5h 34m 30.0s," -1° 38' 00"""
Horsehead Nebula,nebula, 5h 40m 54.0s," -2° 28' 00"""
Orion Nebula,nebula, 5h 35m 30.0s," -5° 28' 00"""
Christmas Tree Cluster,open cluster, 6h 41m 06.0s," +9° 53' 00"""
Wild Duck Cluster,open cluster,18h 51m 06.0s," -6° 16' 00"""
Hyades,open cluster, 4h 26m 54.0s,"+15° 52' 00"""
Menkar,star, 3h 02m 44.3s," +4° 07' 26"""
Cebalrai,star,17h 43m 54.3s," +4° 33' 50"""
Procyon,star, 7h 39m 46.0s," +5° 12' 16"""
Biham,star,22h 10m 38.3s," +6° 14' 28"""
Bellatrix,star, 5h 25m 36.1s," +6° 21' 25"""
Acubens,star, 8h 58m 57.9s,"+11° 49' 24"""
Alshain,star,19h 55m 44.5s," +6° 25' 49"""
Betelgeuse,star, 5h 55m 38.7s," +7° 24' 29"""
Gomeisa,star, 7h 27m 37.5s," +8° 16' 16"""
