#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
3,0.20636,3.5039,4.93,-2.1443,11.1119,12.6918,9.9623
4,0.314657,3.5178,4.7873,-1.6804,9.9103,11.3963,8.783
5,0.481817,3.5541,4.7652,-1.2562,8.7078,9.9841,7.6325
6,0.558618,3.5597,4.791,-1.2592,8.6996,9.9876,7.6241
7,0.398464,3.5371,4.8997,-1.7423,9.983,11.391,8.8767
8,0.36477,3.5329,4.9223,-1.8333,10.2239,11.6518,9.1129
9,0.360077,3.5328,4.9254,-1.8467,10.258,11.6878,9.1466
10,0.361934,3.5329,4.9246,-1.8421,10.2472,11.6766,9.1359
11,0.368052,3.5339,4.9188,-1.8256,10.204,11.631,9.0931
12,0.383453,3.5356,4.9035,-1.7846,10.0973,11.5181,8.9876
13,0.412614,3.54,4.8773,-1.7055,9.8899,11.2985,8.7838
14,0.780227,3.6008,4.584,-0.7586,7.3812,8.6662,6.3126
15,0.827669,3.6135,4.5454,-0.6308,7.0368,8.3087,5.974
16,0.577223,3.5773,4.7343,-1.2591,8.6998,10.0517,7.6138
17,0.582519,3.5808,4.7264,-1.2366,8.6405,9.9792,7.559
18,0.582203,3.5828,4.7249,-1.2324,8.6377,9.9504,7.5627
19,0.584059,3.5842,4.7251,-1.225,8.6152,9.9017,7.5472
20,0.581239,3.5848,4.7296,-1.2306,8.6245,9.8924,7.5629
21,0.579094,3.585,4.7323,-1.2356,8.6302,9.8859,7.5717
22,0.586914,3.5883,4.7259,-1.212,8.5595,9.7917,7.5086
23,0.609936,3.5966,4.7091,-1.1428,8.3529,9.5226,7.3227
24,0.650404,3.6114,4.6779,-1.022,7.9624,9.0034,6.9771
25,0.697149,3.6306,4.644,-0.8807,7.4212,8.2591,6.5121
26,0.700158,3.631,4.6342,-0.8625,7.2963,8.0428,6.4118
27,0.891414,3.7137,4.5651,-0.3531,5.3431,5.523,4.7989
28,0.910284,3.7244,4.5629,-0.3002,5.1061,5.2253,4.6203
29,0.863944,3.7081,4.5811,-0.4078,5.4229,5.6024,4.9058
30,1.787623,4.0952,4.2481,1.9727,-2.0594,-3.1961,-1.5206
31,1.063974,3.7761,4.5196,0.0108,4.5304,4.8232,4.0704
32,1.080845,3.78,4.5084,0.0429,4.4534,4.7402,4.0013
33,1.09361,3.7821,4.4989,0.0649,4.4035,4.6887,3.9555
34,1.099826,3.7823,4.4929,0.0717,4.3912,4.6779,3.9424
35,1.118542,3.7872,4.4806,0.111,4.2937,4.5708,3.8547
36,1.138499,3.7908,4.467,0.1492,4.1979,4.4665,3.7679
37,1.16188,3.7957,4.4507,0.1945,4.0843,4.3427,3.665
38,1.183719,3.8005,4.4342,0.2362,3.9815,4.2313,3.5718
39,1.210181,3.8054,4.4149,0.2859,3.8554,4.0944,3.4584
40,1.268687,3.8177,4.3745,0.3996,3.5644,3.776,3.1946
41,1.271265,3.8161,4.3688,0.3991,3.572,3.789,3.1995
42,1.257706,3.8116,4.376,0.3656,3.6666,3.8971,3.2834
43,1.359034,3.8301,4.3055,0.5461,3.21,3.4021,2.8665
44,1.379926,3.833,4.2901,0.5777,3.1354,3.323,2.7975
45,1.707584,3.8961,4.0518,1.1889,1.6079,1.6722,1.4111
46,2.356187,4.0041,3.6549,2.2288,-0.9577,-1.0901,-0.9094
47,2.232633,3.9713,3.8057,1.8849,-0.0714,-0.1283,-0.0934
48,1.909336,3.9195,4.0926,1.2755,1.4556,1.5015,1.3175
49,1.892032,3.9186,4.1245,1.2324,1.57,1.621,1.4316
50,1.952374,3.9307,4.1178,1.2987,1.418,1.4524,1.3086
51,2.121239,3.9575,4.0693,1.4971,0.9494,0.9429,0.9035
52,2.145928,3.961,4.0633,1.5247,0.8845,0.8732,0.8481
53,2.166383,3.9641,4.058,1.5462,0.833,0.8171,0.8044
54,2.180341,3.9663,4.0553,1.5608,0.7993,0.7803,0.7753
55,2.191499,3.9676,4.0526,1.5707,0.7772,0.7568,0.7568
56,2.199579,3.9682,4.05,1.5765,0.7646,0.7435,0.7461
57,2.206737,3.9687,4.0473,1.581,0.7546,0.7333,0.7368
58,2.21634,3.9687,4.0436,1.5881,0.7386,0.7171,0.7222
59,2.228975,3.9696,4.0388,1.5988,0.7145,0.6922,0.7002
60,2.24131,3.9707,4.0342,1.6092,0.6888,0.6657,0.678
61,2.254491,3.9718,4.0308,1.6201,0.6634,0.6385,0.6552
62,2.266245,3.9729,4.027,1.6304,0.6406,0.6142,0.6352
63,2.278109,3.9734,4.0231,1.6393,0.6188,0.5911,0.6151
64,2.289651,3.9738,4.0181,1.6489,0.5955,0.5676,0.5938
65,2.302337,3.9746,4.0102,1.6594,0.5686,0.5396,0.5679
66,2.316681,3.9749,4.0012,1.6735,0.5357,0.5066,0.5364
67,2.332312,3.9748,3.9897,1.6888,0.4978,0.4676,0.4994
68,2.351524,3.9755,3.9769,1.7082,0.4496,0.42,0.4533
69,2.368678,3.9761,3.9629,1.727,0.4028,0.3707,0.4084
70,2.387565,3.977,3.9484,1.7473,0.3511,0.3185,0.3588
71,2.406078,3.9773,3.9333,1.7691,0.2988,0.2662,0.3082
72,2.424573,3.9772,3.9161,1.7894,0.2464,0.2121,0.2561
73,2.442148,3.9774,3.8992,1.8096,0.1958,0.1618,0.2061
74,2.458876,3.9771,3.8821,1.8285,0.1479,0.1139,0.1573
75,2.474476,3.9758,3.8661,1.8453,0.1038,0.0705,0.1122
76,2.488691,3.9752,3.8505,1.8598,0.0641,0.0312,0.0717
77,2.501672,3.9748,3.8363,1.8741,0.0274,-0.0044,0.0335
78,2.514028,3.9736,3.8227,1.8864,-0.0067,-0.0386,-0.0021
79,2.52481,3.9726,3.8088,1.8982,-0.0376,-0.0681,-0.0347
80,2.535911,3.9715,3.7957,1.9085,-0.0669,-0.0961,-0.0672
81,2.546481,3.9706,3.7823,1.9185,-0.0949,-0.1235,-0.0971
82,2.554439,3.9694,3.7718,1.9265,-0.117,-0.1443,-0.1216
83,2.562267,3.9685,3.7607,1.9335,-0.1378,-0.1642,-0.1453
84,2.570244,3.9671,3.7502,1.9408,-0.1581,-0.1834,-0.1681
85,2.578144,3.9656,3.7392,1.9477,-0.1782,-0.2016,-0.192
86,2.585847,3.9646,3.7278,1.9546,-0.198,-0.2201,-0.2151
87,2.593367,3.963,3.7168,1.961,-0.2177,-0.2375,-0.2377
88,2.600774,3.9613,3.7047,1.9669,-0.2359,-0.2541,-0.2605
89,2.608208,3.9591,3.6933,1.9727,-0.2535,-0.2693,-0.2819
90,2.615179,3.9569,3.6811,1.9777,-0.2702,-0.2838,-0.3038
91,2.621937,3.9546,3.6688,1.983,-0.2872,-0.2981,-0.3252
92,2.628797,3.9527,3.6567,1.9887,-0.3036,-0.313,-0.3476
93,2.635316,3.9507,3.6439,1.9934,-0.3201,-0.3257,-0.3686
94,2.641879,3.9487,3.6314,1.9975,-0.3356,-0.3381,-0.3891
95,2.648264,3.9461,3.6183,2.002,-0.3504,-0.3506,-0.41
96,2.654365,3.9439,3.6045,2.0064,-0.3655,-0.3625,-0.4308
97,2.660207,3.9412,3.5911,2.0108,-0.3809,-0.3744,-0.4525
98,2.665962,3.9389,3.5779,2.015,-0.3955,-0.3855,-0.473
99,2.671548,3.9357,3.5638,2.0193,-0.4095,-0.3963,-0.494
100,2.677033,3.9329,3.5496,2.0231,-0.4238,-0.4073,-0.5149
101,2.682419,3.9306,3.5353,2.0282,-0.4389,-0.4191,-0.5362
102,2.687674,3.9274,3.521,2.032,-0.4528,-0.4297,-0.5572
103,2.692774,3.9251,3.5067,2.0364,-0.4671,-0.4398,-0.5775
104,2.697805,3.9225,3.4927,2.0406,-0.4806,-0.4498,-0.5972
105,2.703051,3.9201,3.4779,2.0448,-0.4953,-0.4607,-0.6175
106,2.708853,3.9177,3.4653,2.0503,-0.5108,-0.4734,-0.6385
107,2.714655,3.9168,3.4555,2.0579,-0.5298,-0.4904,-0.6583
108,2.719703,3.918,3.4522,2.0653,-0.5481,-0.5105,-0.6745
109,2.723144,3.9201,3.4538,2.0716,-0.5634,-0.5289,-0.6846
110,2.725779,3.9221,3.4603,2.0774,-0.5756,-0.5462,-0.6905
111,2.7278,3.926,3.4675,2.0833,-0.5872,-0.5619,-0.6933
112,2.72807,3.9263,3.4695,2.0843,-0.5883,-0.564,-0.6937
113,2.728326,3.9276,3.4717,2.085,-0.5902,-0.5671,-0.6933
114,2.72859,3.9284,3.4738,2.0861,-0.5915,-0.5699,-0.6934
115,2.728846,3.9283,3.476,2.0872,-0.5933,-0.5727,-0.693
116,2.729109,3.9291,3.4777,2.0879,-0.5947,-0.5751,-0.693
117,2.729368,3.9296,3.4801,2.0888,-0.5961,-0.5775,-0.692
118,2.729632,3.9305,3.483,2.0897,-0.5975,-0.5801,-0.6913
119,2.729895,3.9323,3.4849,2.0901,-0.5983,-0.5828,-0.6902
